"Date","Price","Open","High","Low","Vol.","Change %"
"May 21, 2021","143.80","143.00","145.05","142.97","623.80K","2.01%"
"May 20, 2021","140.97","139.00","142.60","138.44","1.06M","1.75%"
"May 19, 2021","138.55","136.05","138.60","133.40","2.16M","-1.44%"
"May 18, 2021","140.57","144.46","144.80","140.57","979.61K","-2.24%"
"May 17, 2021","143.79","144.63","144.63","141.90","995.71K","-0.58%"
"May 16, 2021","144.63","144.63","144.63","144.63","-","0.00%"
"May 15, 2021","144.63","144.63","144.63","144.63","-","0.00%"
"May 14, 2021","144.63","142.39","145.39","141.71","1.60M","3.40%"
"May 13, 2021","139.87","135.00","141.64","135.00","2.09M","3.89%"
"May 12, 2021","134.63","141.29","142.37","134.20","2.20M","-6.03%"
"May 11, 2021","143.27","145.65","146.08","140.78","2.46M","-4.17%"
"May 10, 2021","149.50","151.47","153.76","149.32","1.51M","-0.12%"
"May 07, 2021","149.68","146.17","150.12","145.78","1.29M","2.00%"
"May 06, 2021","146.74","143.59","146.74","142.20","1.37M","2.89%"
"May 05, 2021","142.62","142.59","143.87","142.28","748.19K","0.78%"
"May 04, 2021","141.52","139.82","141.58","136.87","1.70M","0.20%"
"May 03, 2021","141.24","140.73","142.49","140.56","863.81K","1.98%"
"Apr 30, 2021","138.50","138.55","139.39","137.18","1.03M","-1.48%"
"Apr 29, 2021","140.58","139.72","140.90","136.68","1.16M","2.00%"
"Apr 28, 2021","137.82","139.00","139.25","137.47","863.32K","-1.36%"
"Apr 27, 2021","139.72","139.48","140.41","138.31","686.06K","-0.07%"
"Apr 26, 2021","139.82","141.33","141.73","139.20","849.26K","-0.37%"
"Apr 23, 2021","140.34","137.00","141.84","136.49","1.04M","2.02%"
"Apr 22, 2021","137.56","141.18","141.40","136.35","1.67M","-2.85%"
"Apr 21, 2021","141.59","137.50","141.75","137.31","1.03M","2.79%"
"Apr 20, 2021","137.75","139.25","139.89","136.07","1.14M","-2.30%"
"Apr 19, 2021","140.99","142.49","142.49","139.68","1.14M","-1.05%"
"Apr 18, 2021","142.49","142.49","142.49","142.49","-","0.00%"
"Apr 17, 2021","142.49","142.49","142.49","142.49","-","0.00%"
"Apr 16, 2021","142.49","142.53","143.04","141.38","911.78K","1.42%"
"Apr 15, 2021","140.50","138.75","140.76","138.75","773.97K","2.57%"
"Apr 14, 2021","136.98","136.14","138.84","136.12","1.29M","0.65%"
"Apr 13, 2021","136.10","135.85","136.80","134.50","1.18M","-0.64%"
"Apr 12, 2021","136.97","137.47","137.47","136.00","867.68K","-0.36%"
"Apr 11, 2021","137.47","137.47","137.47","137.47","-","0.00%"
"Apr 10, 2021","137.47","137.47","137.47","137.47","-","0.00%"
"Apr 09, 2021","137.47","134.75","137.60","134.45","1.05M","2.54%"
"Apr 08, 2021","134.06","133.23","134.06","132.20","1.09M","0.65%"
"Apr 07, 2021","133.19","132.96","134.18","132.21","781.89K","-0.01%"
"Apr 06, 2021","133.20","133.45","134.50","132.75","890.33K","-0.81%"
"Apr 05, 2021","134.29","132.87","135.37","132.79","1.20M","3.42%"
"Apr 01, 2021","129.85","129.12","129.91","127.90","1.12M","1.18%"
"Mar 31, 2021","128.34","129.26","130.10","128.20","1.31M","-0.53%"
"Mar 30, 2021","129.03","129.69","129.98","127.90","1.45M","-0.87%"
"Mar 29, 2021","130.16","127.40","131.04","127.01","1.96M","1.02%"
"Mar 26, 2021","128.85","125.59","129.21","124.46","2.06M","4.05%"
"Mar 25, 2021","123.83","119.82","124.31","117.66","2.11M","1.83%"
"Mar 24, 2021","121.61","122.90","125.64","121.61","1.28M","0.01%"
"Mar 23, 2021","121.60","124.11","125.32","120.87","1.35M","-2.94%"
"Mar 22, 2021","125.28","123.39","126.08","122.83","1.08M","1.19%"
"Mar 21, 2021","123.81","123.81","123.81","123.81","-","0.00%"
"Mar 19, 2021","123.81","126.39","126.39","122.66","1.65M","-2.52%"
"Mar 18, 2021","127.01","128.10","131.05","126.51","2.12M","-1.21%"
"Mar 17, 2021","128.56","126.78","128.94","125.96","1.27M","1.66%"
"Mar 16, 2021","126.46","127.61","127.74","125.90","1.17M","-1.09%"
"Mar 15, 2021","127.86","126.93","128.07","124.15","1.90M","1.49%"
"Mar 14, 2021","125.98","125.98","125.98","125.98","-","0.00%"
"Mar 12, 2021","125.98","122.95","126.04","122.78","1.46M","2.85%"
"Mar 11, 2021","122.49","121.82","124.35","120.90","1.48M","1.76%"
"Mar 10, 2021","120.37","117.44","121.28","117.44","2.16M","4.48%"
"Mar 09, 2021","115.21","116.10","118.54","115.21","1.59M","0.31%"
"Mar 08, 2021","114.85","113.38","118.38","112.38","2.65M","2.98%"
"Mar 05, 2021","111.53","108.77","112.40","104.10","2.86M","5.45%"
"Mar 04, 2021","105.77","109.49","111.38","101.70","2.77M","-3.22%"
"Mar 03, 2021","109.29","110.22","112.40","109.19","1.55M","-1.29%"
"Mar 02, 2021","110.72","112.33","113.04","110.45","1.21M","-1.29%"
"Mar 01, 2021","112.17","109.97","113.51","109.97","1.69M","5.96%"
"Feb 26, 2021","105.86","111.12","111.12","105.64","2.28M","-4.31%"
"Feb 25, 2021","110.63","116.93","117.17","109.58","2.53M","-5.27%"
"Feb 24, 2021","116.79","111.54","117.30","111.05","1.44M","3.96%"
"Feb 23, 2021","112.34","111.67","113.52","108.32","1.97M","0.12%"
"Feb 22, 2021","112.21","109.64","113.47","109.53","1.07M","0.40%"
"Feb 19, 2021","111.76","112.58","113.36","111.49","809.25K","-0.11%"
"Feb 18, 2021","111.88","110.99","112.34","109.55","1.05M","-1.09%"
"Feb 17, 2021","113.11","110.90","113.33","110.15","999.79K","1.11%"
"Feb 16, 2021","111.87","112.70","112.92","111.16","874.77K","0.49%"
"Feb 12, 2021","111.33","110.55","111.47","110.08","612.72K","0.38%"
"Feb 11, 2021","110.91","111.39","112.14","108.96","1.05M","0.11%"
"Feb 10, 2021","110.79","111.53","111.58","108.50","839.31K","0.47%"
"Feb 09, 2021","110.27","109.49","110.80","108.75","717.77K","0.15%"
"Feb 08, 2021","110.10","108.91","110.10","108.65","819.49K","2.28%"
"Feb 05, 2021","107.65","108.54","108.80","107.02","953.98K","0.85%"
"Feb 04, 2021","106.74","104.00","106.85","103.95","930.31K","3.29%"
"Feb 03, 2021","103.34","102.22","104.10","101.36","1.08M","0.26%"
"Feb 02, 2021","103.07","100.75","104.51","100.74","1.34M","4.79%"
"Feb 01, 2021","98.36","98.54","99.58","96.47","1.58M","2.35%"
"Jan 29, 2021","96.10","100.31","101.18","94.94","2.91M","-6.13%"
"Jan 28, 2021","102.38","101.41","105.75","101.28","1.98M","2.63%"
"Jan 27, 2021","99.76","103.11","103.21","98.50","2.20M","-5.94%"
"Jan 26, 2021","106.06","107.24","107.84","105.88","974.59K","-0.32%"
"Jan 25, 2021","106.40","105.65","106.40","102.15","2.33M","-0.23%"
"Jan 22, 2021","106.64","106.51","107.73","105.74","1.08M","-1.82%"
"Jan 21, 2021","108.62","108.82","109.50","107.92","1.08M","0.06%"
"Jan 20, 2021","108.56","107.18","109.11","106.68","1.25M","2.47%"
"Jan 19, 2021","105.94","107.07","107.49","105.32","1.05M","1.08%"
"Jan 15, 2021","104.81","104.75","106.05","102.68","1.89M","-1.76%"
"Jan 14, 2021","106.69","108.25","109.00","106.54","1.11M","-0.63%"
"Jan 13, 2021","107.37","107.32","108.26","106.59","1.06M","-0.04%"
"Jan 12, 2021","107.41","106.90","107.87","105.54","1.01M","0.53%"
"Jan 11, 2021","106.84","105.10","107.69","105.05","1.38M","-0.84%"
"Jan 08, 2021","107.75","107.96","108.16","104.60","1.96M","0.57%"
"Jan 07, 2021","107.14","106.51","108.75","105.73","1.66M","2.14%"
"Jan 06, 2021","104.90","100.40","106.90","99.82","2.52M","4.26%"
"Jan 05, 2021","100.61","98.62","101.75","98.18","1.66M","1.52%"
"Jan 04, 2021","99.10","103.45","103.48","95.49","3.15M","-3.28%"
"Dec 31, 2020","102.46","100.83","103.10","100.21","1.07M","1.58%"
"Dec 30, 2020","100.87","100.95","101.98","100.71","940.06K","0.58%"
"Dec 29, 2020","100.29","102.29","102.56","99.53","1.52M","-0.61%"
"Dec 28, 2020","100.91","100.56","102.00","100.21","1.26M","1.93%"
"Dec 24, 2020","99.00","98.54","99.00","97.86","707.10K","0.79%"
"Dec 23, 2020","98.22","98.12","99.69","98.08","1.22M","0.99%"
"Dec 22, 2020","97.26","98.87","98.87","96.95","1.63M","-1.98%"
"Dec 21, 2020","99.22","95.98","100.03","94.59","2.38M","0.22%"
"Dec 18, 2020","99.00","100.33","100.33","97.34","2.05M","-1.01%"
"Dec 17, 2020","100.01","99.76","100.21","99.38","1.11M","1.33%"
"Dec 16, 2020","98.70","99.03","99.40","97.86","1.37M","-0.42%"
"Dec 15, 2020","99.12","97.55","99.45","96.13","1.54M","3.43%"
"Dec 14, 2020","95.83","99.60","100.35","95.68","2.02M","-1.73%"
"Dec 11, 2020","97.52","96.11","97.81","95.38","1.54M","0.35%"
"Dec 10, 2020","97.18","96.60","97.79","95.90","1.47M","-0.37%"
"Dec 09, 2020","97.54","99.81","100.17","96.65","1.64M","-1.32%"
"Dec 08, 2020","98.84","96.71","99.49","96.70","1.51M","1.04%"
"Dec 07, 2020","97.82","98.43","98.81","96.75","1.56M","-1.37%"
"Dec 04, 2020","99.18","97.43","99.19","97.30","1.32M","2.53%"
"Dec 03, 2020","96.73","96.15","98.06","95.84","2.68M","0.77%"
"Dec 02, 2020","95.99","93.96","96.13","93.24","1.18M","0.81%"
"Dec 01, 2020","95.22","96.48","97.68","94.98","2.20M","1.72%"
"Nov 30, 2020","93.61","94.37","94.68","91.72","2.72M","-2.51%"
"Nov 27, 2020","96.02","96.26","96.99","95.08","1.03M","0.43%"
"Nov 25, 2020","95.61","96.78","96.83","94.92","1.69M","-1.73%"
"Nov 24, 2020","97.29","95.85","97.89","95.23","2.51M","4.67%"
"Nov 23, 2020","92.95","91.50","93.68","90.81","2.43M","3.40%"
"Nov 20, 2020","89.89","91.51","91.80","89.57","1.75M","-2.22%"
"Nov 19, 2020","91.93","90.78","92.34","89.62","2.21M","0.52%"
"Nov 18, 2020","91.45","95.62","96.15","91.41","2.07M","-3.57%"
"Nov 17, 2020","94.84","93.84","95.56","92.14","1.96M","-1.64%"
"Nov 16, 2020","96.42","95.70","96.42","94.14","3.40M","5.01%"
"Nov 13, 2020","91.82","89.90","92.56","89.39","2.00M","4.23%"
"Nov 12, 2020","88.09","89.33","90.27","86.45","2.74M","-3.27%"
"Nov 11, 2020","91.07","92.83","92.86","89.91","2.04M","-0.30%"
"Nov 10, 2020","91.34","90.11","91.78","88.51","2.18M","2.91%"
"Nov 09, 2020","88.76","94.70","95.49","88.53","4.54M","8.84%"
"Nov 06, 2020","81.55","82.15","82.54","80.36","2.02M","-0.52%"
"Nov 05, 2020","81.98","80.73","82.97","80.54","3.49M","5.67%"
"Nov 04, 2020","77.58","75.73","81.29","75.14","3.71M","4.15%"
"Nov 03, 2020","74.49","72.93","75.83","72.50","3.14M","6.08%"
"Nov 02, 2020","70.22","69.94","71.18","68.48","3.17M","4.77%"
"Oct 30, 2020","67.02","67.03","68.00","64.23","4.58M","-1.56%"
"Oct 29, 2020","68.08","67.15","70.00","65.36","4.04M","1.11%"
"Oct 28, 2020","67.33","70.29","71.74","67.00","4.63M","-10.14%"
"Oct 27, 2020","74.93","76.80","76.94","74.89","1.94M","-2.56%"
"Oct 26, 2020","76.90","79.66","79.85","74.02","4.17M","-6.79%"
"Oct 23, 2020","82.50","83.37","83.45","80.84","2.09M","-0.35%"
"Oct 22, 2020","82.79","81.37","83.16","79.83","1.95M","1.92%"
"Oct 21, 2020","81.23","81.76","83.35","81.13","1.74M","-1.17%"
"Oct 20, 2020","82.19","82.29","84.42","81.59","1.86M","1.07%"
"Oct 19, 2020","81.32","85.48","85.79","80.69","1.68M","-4.16%"
"Oct 16, 2020","84.85","85.00","86.94","84.75","1.50M","1.10%"
"Oct 15, 2020","83.93","81.10","84.19","81.10","1.21M","-0.18%"
"Oct 14, 2020","84.08","85.87","86.50","83.55","1.18M","-1.66%"
"Oct 13, 2020","85.50","86.11","86.70","84.87","1.19M","-1.74%"
"Oct 12, 2020","87.01","85.70","88.01","85.45","1.19M","2.62%"
"Oct 11, 2020","84.79","84.79","84.79","84.79","-","0.00%"
"Oct 09, 2020","84.79","84.44","85.52","83.42","1.77M","1.75%"
"Oct 08, 2020","83.33","83.56","83.60","81.95","1.29M","1.55%"
"Oct 07, 2020","82.06","79.89","82.70","79.89","1.32M","5.65%"
"Oct 06, 2020","77.67","81.94","82.78","77.35","2.44M","-4.08%"
"Oct 05, 2020","80.97","78.81","81.12","78.80","963.52K","4.98%"
"Oct 04, 2020","77.13","77.13","77.13","77.13","-","0.00%"
"Oct 03, 2020","77.13","77.13","77.13","77.13","-","0.00%"
"Oct 02, 2020","77.13","74.50","78.50","74.50","2.32M","-1.49%"
"Oct 01, 2020","78.30","79.35","80.13","77.00","2.24M","0.63%"
"Sep 30, 2020","77.81","75.99","79.86","75.99","2.81M","3.57%"
"Sep 29, 2020","75.13","76.02","76.46","74.27","2.26M","-1.71%"
"Sep 28, 2020","76.44","73.04","77.40","73.04","1.61M","4.65%"
"Sep 27, 2020","73.04","73.04","73.04","73.04","-","0.00%"
"Sep 26, 2020","73.04","73.04","73.04","73.04","-","0.00%"
"Sep 25, 2020","73.04","69.37","73.49","68.76","2.08M","4.02%"
"Sep 24, 2020","70.22","69.16","72.35","68.00","2.73M","0.59%"
"Sep 23, 2020","69.81","75.24","75.53","69.40","2.79M","-5.74%"
"Sep 22, 2020","74.06","73.19","74.37","71.67","3.05M","1.58%"
"Sep 21, 2020","72.91","73.07","73.55","69.29","4.89M","-5.50%"
"Sep 18, 2020","77.15","79.35","79.70","75.77","2.09M","-2.78%"
"Sep 17, 2020","79.36","77.56","80.60","77.16","3.14M","-1.37%"
"Sep 16, 2020","80.46","81.04","83.25","80.38","2.45M","0.49%"
"Sep 15, 2020","80.07","81.76","82.07","79.59","1.63M","-0.01%"
"Sep 14, 2020","80.08","78.85","80.88","78.67","1.35M","3.57%"
"Sep 13, 2020","77.32","77.32","77.32","77.32","-","0.00%"
"Sep 11, 2020","77.32","77.14","78.67","75.47","2.49M","1.43%"
"Sep 10, 2020","76.23","80.67","81.60","75.50","2.39M","-4.32%"
"Sep 09, 2020","79.67","78.15","81.82","77.72","2.59M","4.86%"
"Sep 08, 2020","75.98","78.49","78.85","75.68","3.71M","-6.78%"
"Sep 04, 2020","81.51","84.00","84.91","77.42","3.61M","-1.65%"
"Sep 03, 2020","82.88","90.03","91.24","80.81","5.25M","-8.20%"
"Sep 02, 2020","90.28","87.42","90.95","87.05","2.63M","4.60%"
"Sep 01, 2020","86.31","83.52","86.31","83.05","1.90M","2.87%"
"Aug 31, 2020","83.90","85.76","85.79","83.70","2.60M","-2.78%"
"Aug 30, 2020","86.30","86.30","86.30","86.30","-","0.00%"
"Aug 28, 2020","86.30","85.80","86.89","84.68","2.22M","1.82%"
"Aug 27, 2020","84.76","84.15","85.96","83.53","2.53M","1.86%"
"Aug 26, 2020","83.21","82.55","83.45","81.74","1.81M","0.85%"
"Aug 25, 2020","82.51","83.80","83.80","81.23","2.36M","-0.69%"
"Aug 24, 2020","83.08","79.78","83.08","79.78","2.71M","4.14%"
"Aug 23, 2020","79.78","79.78","79.78","79.78","-","0.00%"
"Aug 21, 2020","79.78","77.86","80.01","77.74","1.66M","2.12%"
"Aug 20, 2020","78.12","76.50","78.40","76.41","1.47M","0.58%"
"Aug 19, 2020","77.67","78.77","79.60","77.31","2.08M","-0.88%"
"Aug 18, 2020","78.36","79.11","79.32","77.55","1.72M","-0.81%"
"Aug 17, 2020","79.00","80.01","80.06","78.63","1.57M","-0.74%"
"Aug 14, 2020","79.59","78.42","80.02","78.16","1.65M","0.24%"
"Aug 13, 2020","79.40","79.24","80.06","78.48","1.70M","-0.71%"
"Aug 12, 2020","79.97","79.78","80.43","78.87","2.14M","3.13%"
"Aug 11, 2020","77.54","80.71","81.43","76.97","3.81M","-1.05%"
"Aug 10, 2020","78.36","75.39","78.44","75.39","2.79M","3.94%"
"Aug 09, 2020","75.39","75.39","75.39","75.39","-","0.00%"
"Aug 08, 2020","75.39","75.39","75.39","75.39","-","0.00%"
"Aug 07, 2020","75.39","74.31","75.62","73.71","2.74M","0.60%"
"Aug 06, 2020","74.94","73.05","74.94","73.00","2.58M","2.22%"
"Aug 05, 2020","73.31","71.76","73.52","71.74","2.59M","4.10%"
"Aug 04, 2020","70.42","69.18","70.42","68.74","1.53M","1.79%"
"Aug 03, 2020","69.18","68.42","69.52","68.15","1.76M","2.70%"
"Aug 02, 2020","67.36","67.36","67.36","67.36","-","0.00%"
"Jul 31, 2020","67.36","66.99","67.48","64.22","2.96M","1.20%"
"Jul 30, 2020","66.56","65.87","66.91","64.01","3.61M","-2.55%"
"Jul 29, 2020","68.30","67.31","68.73","67.00","1.88M","1.80%"
"Jul 28, 2020","67.09","68.68","68.68","66.99","2.05M","-2.32%"
"Jul 27, 2020","68.68","67.71","68.88","67.47","2.35M","1.39%"
"Jul 26, 2020","67.74","67.74","67.74","67.74","-","0.00%"
"Jul 25, 2020","67.74","67.74","67.74","67.74","-","0.00%"
"Jul 24, 2020","67.74","69.20","69.20","67.29","2.46M","-2.11%"
"Jul 23, 2020","69.20","71.64","71.70","68.45","2.72M","-3.78%"
"Jul 22, 2020","71.92","70.30","72.18","70.30","1.93M","1.77%"
"Jul 21, 2020","70.67","70.92","72.10","70.07","2.91M","1.80%"
"Jul 20, 2020","69.42","69.21","70.01","68.10","2.90M","0.04%"
"Jul 17, 2020","69.39","70.38","70.38","68.98","2.80M","-0.63%"
"Jul 16, 2020","69.83","69.49","70.94","68.66","3.44M","-1.50%"
"Jul 15, 2020","70.89","72.14","72.15","69.48","5.37M","2.66%"
"Jul 14, 2020","69.05","64.71","69.44","64.36","4.75M","6.15%"
"Jul 13, 2020","65.05","64.87","69.07","64.70","5.24M","0.28%"
"Jul 12, 2020","64.87","64.87","64.87","64.87","-","0.00%"
"Jul 11, 2020","64.87","64.87","64.87","64.87","-","0.00%"
"Jul 10, 2020","64.87","62.24","65.02","61.69","3.69M","4.23%"
"Jul 09, 2020","62.24","65.00","65.14","60.84","5.07M","-4.05%"
"Jul 08, 2020","64.87","64.04","65.16","63.03","3.31M","2.00%"
"Jul 07, 2020","63.60","65.11","65.74","63.40","3.29M","-4.49%"
"Jul 06, 2020","66.59","63.30","66.64","63.30","3.47M","5.20%"
"Jul 05, 2020","63.30","63.30","63.30","63.30","-","0.00%"
"Jul 04, 2020","63.30","63.30","63.30","63.30","-","0.00%"
"Jul 02, 2020","63.30","65.25","65.94","62.90","4.45M","1.41%"
"Jul 01, 2020","62.42","63.59","64.59","62.34","3.81M","-0.62%"
"Jun 30, 2020","62.81","60.82","63.67","60.60","4.87M","2.18%"
"Jun 29, 2020","61.47","58.81","61.47","58.05","4.32M","6.77%"
"Jun 26, 2020","57.57","61.40","61.77","57.15","7.60M","-8.34%"
"Jun 25, 2020","62.81","59.89","62.99","59.02","5.63M","3.25%"
"Jun 24, 2020","60.83","64.20","64.54","59.54","9.14M","-7.99%"
"Jun 23, 2020","66.11","67.00","67.25","65.71","3.41M","1.50%"
"Jun 22, 2020","65.13","63.34","65.34","62.49","3.98M","1.85%"
"Jun 19, 2020","63.95","68.21","68.21","63.15","6.38M","-2.34%"
"Jun 18, 2020","65.48","64.43","66.04","63.71","3.64M","-0.49%"
"Jun 17, 2020","65.80","67.88","67.90","65.44","4.33M","-2.19%"
"Jun 16, 2020","67.27","69.68","69.68","63.63","7.59M","6.25%"
"Jun 15, 2020","63.31","57.31","64.13","56.61","6.64M","2.08%"
"Jun 12, 2020","62.02","63.65","64.59","58.36","8.89M","5.42%"
"Jun 11, 2020","58.83","66.98","68.20","58.31","12.25M","-20.55%"
"Jun 10, 2020","74.05","76.35","77.10","73.59","8.16M","-3.22%"
"Jun 09, 2020","76.51","76.35","77.82","75.40","6.63M","-3.08%"
"Jun 08, 2020","78.94","76.43","78.94","76.30","5.88M","5.38%"
"Jun 07, 2020","74.91","74.91","74.91","74.91","-","0.00%"
"Jun 05, 2020","74.91","74.12","76.90","73.64","7.00M","9.18%"
"Jun 04, 2020","68.61","67.84","69.38","67.05","4.75M","0.15%"
"Jun 03, 2020","68.51","66.39","69.06","65.83","5.17M","6.33%"
"Jun 02, 2020","64.43","63.52","64.43","62.90","4.30M","3.09%"
"Jun 01, 2020","62.50","61.43","62.77","60.70","2.88M","1.17%"
"May 29, 2020","61.78","61.12","62.61","59.21","6.39M","-0.26%"
"May 28, 2020","61.94","64.50","64.51","61.55","4.92M","-1.48%"
"May 27, 2020","62.87","61.54","62.89","59.10","6.02M","6.51%"
"May 26, 2020","59.03","59.54","60.24","58.83","5.09M","6.51%"
"May 22, 2020","55.42","55.42","55.55","54.23","3.80M","-0.16%"
"May 21, 2020","55.51","55.87","57.09","54.72","5.93M","-0.95%"
"May 20, 2020","56.04","55.75","56.54","55.33","5.48M","4.51%"
"May 19, 2020","53.62","55.89","56.28","53.62","7.57M","-4.52%"
"May 18, 2020","56.16","54.68","56.95","54.61","5.58M","11.41%"
"May 15, 2020","50.41","48.67","50.64","48.25","6.39M","0.76%"
"May 14, 2020","50.03","45.99","50.03","44.87","8.08M","4.91%"
"May 13, 2020","47.69","50.25","50.65","46.52","7.28M","-6.49%"
"May 12, 2020","51.00","54.88","55.13","51.00","4.93M","-5.61%"
"May 11, 2020","54.03","53.39","54.99","52.97","4.23M","-1.19%"
"May 08, 2020","54.68","53.88","54.86","53.28","3.67M","5.56%"
"May 07, 2020","51.80","51.94","53.15","51.48","4.62M","2.80%"
"May 06, 2020","50.39","52.71","52.81","50.29","6.03M","-2.59%"
"May 05, 2020","51.73","52.49","53.57","51.60","4.40M","1.79%"
"May 04, 2020","50.82","49.35","51.00","48.37","4.50M","0.18%"
"May 03, 2020","50.73","50.73","50.73","50.73","-","0.00%"
"May 02, 2020","50.73","50.73","50.73","50.73","-","0.00%"
"May 01, 2020","50.73","52.22","52.77","50.19","6.10M","-7.43%"